Campaign_Name,Id,Status,Date,Amount,Payout,Sub_Id,Currency,Partner,Inventory,Email_Id
Flipkart ,1122116164,pending,1/31/2025,1372,25.5,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1122095405,pending,1/31/2025,231,5.9,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1122082078,pending,1/31/2025,81064,48.6,store_page,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1122062595,pending,1/31/2025,393,10.1,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1122043961,pending,1/31/2025,214,5.1,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1122043912,pending,1/31/2025,275,9.3,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1122020641,pending,1/31/2025,474,11.8,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1122020147,pending,1/31/2025,339,8.5,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1121999652,pending,1/31/2025,290,10.2,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1121991172,pending,1/31/2025,399,10.2,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1121989837,pending,1/31/2025,539,4.2,app,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1121910549,pending,1/31/2025,54,1.7,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1121910157,pending,1/31/2025,54,1.7,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1121910070,pending,1/31/2025,19,0.8,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1121910040,pending,1/31/2025,19,0.8,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1121910014,pending,1/31/2025,18,0.8,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
Flipkart ,1121909990,pending,1/31/2025,18,0.8,telegram,INR,Admitad,Flipshope,agoyal@flipshope.com
