[2025-06-30 11:57:01,533] 22 root - INFO - Logging setup completed successfully!
[2025-06-30 11:57:08,062] 97 werkzeug - WARNING -  * Debugger is active!
[2025-06-30 11:57:08,071] 97 werkzeug - INFO -  * Debugger PIN: 296-058-325
[2025-06-30 11:57:08,814] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\pip\\_internal\\utils\\temp_dir.py', reloading
[2025-06-30 11:57:08,826] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\pip\\_internal\\utils\\retry.py', reloading
[2025-06-30 11:57:08,847] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\pip\\_internal\\utils\\misc.py', reloading
[2025-06-30 11:57:08,865] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\shutil.py', reloading
[2025-06-30 11:57:08,866] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\~klearn\\base.py', reloading
[2025-06-30 11:57:08,867] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\~klearn\\calibration.py', reloading
[2025-06-30 11:57:08,868] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\~klearn\\cluster\\tests\\common.py', reloading
[2025-06-30 11:57:08,870] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\~klearn\\cluster\\tests\\test_affinity_propagation.py', reloading
[2025-06-30 11:57:08,871] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\~klearn\\cluster\\tests\\test_bicluster.py', reloading
[2025-06-30 11:57:08,871] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\~klearn\\cluster\\tests\\test_birch.py', reloading
[2025-06-30 11:57:08,872] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\~klearn\\cluster\\tests\\test_bisect_k_means.py', reloading
[2025-06-30 11:57:08,873] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\~klearn\\cluster\\tests\\test_dbscan.py', reloading
[2025-06-30 11:57:08,874] 97 werkzeug - INFO -  * Detected change in 'C:\\Users\\mk744\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\~klearn\\cluster\\tests\\test_feature_agglomeration.py', reloading
