[2025-04-14 16:52:59,953] 22 root - INFO - Logging setup completed successfully!
[2025-04-14 16:53:01,316] 97 werkzeug - WARNING -  * Debugger is active!
[2025-04-14 16:53:01,326] 97 werkzeug - INFO -  * Debugger PIN: 118-157-978
[2025-04-14 16:53:17,204] 97 werkzeug - INFO - 127.0.0.1 - - [14/Apr/2025 16:53:17] "GET /predict HTTP/1.1" 200 -
[2025-04-14 16:53:17,419] 97 werkzeug - INFO - 127.0.0.1 - - [14/Apr/2025 16:53:17] "GET /static/style.css HTTP/1.1" 200 -
[2025-04-14 16:53:30,176] 53 root - INFO - Data Frame Gathered
[2025-04-14 16:53:30,919] 97 werkzeug - INFO - 127.0.0.1 - - [14/Apr/2025 16:53:30] "POST /predict HTTP/1.1" 200 -
[2025-04-14 16:53:30,948] 97 werkzeug - INFO - 127.0.0.1 - - [14/Apr/2025 16:53:30] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2025-04-14 16:53:42,139] 97 werkzeug - INFO - 127.0.0.1 - - [14/Apr/2025 16:53:42] "GET / HTTP/1.1" 200 -
[2025-04-14 16:53:42,170] 97 werkzeug - INFO - 127.0.0.1 - - [14/Apr/2025 16:53:42] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2025-04-14 16:53:43,430] 97 werkzeug - INFO - 127.0.0.1 - - [14/Apr/2025 16:53:43] "GET /predict HTTP/1.1" 200 -
[2025-04-14 16:53:43,462] 97 werkzeug - INFO - 127.0.0.1 - - [14/Apr/2025 16:53:43] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2025-04-14 16:55:06,887] 53 root - INFO - Data Frame Gathered
[2025-04-14 16:55:06,896] 97 werkzeug - INFO - 127.0.0.1 - - [14/Apr/2025 16:55:06] "POST /predict HTTP/1.1" 200 -
[2025-04-14 16:55:06,918] 97 werkzeug - INFO - 127.0.0.1 - - [14/Apr/2025 16:55:06] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
