[2025-04-24 17:20:59,672] 22 root - INFO - Logging setup completed successfully!
[2025-04-24 17:21:00,897] 97 werkzeug - WARNING -  * Debugger is active!
[2025-04-24 17:21:00,904] 97 werkzeug - INFO -  * Debugger PIN: 127-551-741
[2025-04-24 17:21:18,413] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 17:21:18] "GET /predict HTTP/1.1" 200 -
[2025-04-24 17:21:18,551] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 17:21:18] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2025-04-24 17:21:23,742] 53 root - INFO - Data Frame Gathered
[2025-04-24 17:21:24,416] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 17:21:24] "POST /predict HTTP/1.1" 200 -
[2025-04-24 17:21:24,447] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 17:21:24] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2025-04-24 17:21:31,904] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 17:21:31] "GET /predict HTTP/1.1" 200 -
[2025-04-24 17:21:31,937] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 17:21:31] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2025-04-24 17:21:43,676] 53 root - INFO - Data Frame Gathered
[2025-04-24 17:21:43,689] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 17:21:43] "POST /predict HTTP/1.1" 200 -
[2025-04-24 17:21:43,712] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 17:21:43] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
